학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,전공선택,HST039,동아시아사의이해,3(3)
1학년/1학기,전공선택,LAR039,조경계획,3(3)
2학년/1학기,전공선택,ANT125,공동체와민속문화,3(3)
2학년/1학기,전공선택,HST036,동아시아고대사,3(3)
2학년/1학기,전공선택,CUL002,문화유산해설론,3(3)
2학년/1학기,전공선택,PSY019,사회심리학,3(3)
2학년/1학기,전공선택,ARC109,서양건축사,3(3)
2학년/2학기,전공선택,LAR023,동양조경사,3(3)
2학년/2학기,전공선택,LAR026,서양조경사,3(3)
2학년/2학기,전공선택,ARC160,한국건축사,3(3)
3학년/1학기,전공선택,ANT120,고고유산실습과활용,3(4)
3학년/1학기,전공선택,ANT126,대중고고학,3(3)
3학년/1학기,전공선택,CUL004,유형문화유산해설론,3(3)
3학년/1학기,전공선택,HST028,조선의사회와문화,3(3)
3학년/1학기,전공선택,PAI153,한국근현대미술론,3(3)
3학년/1학기,전공선택,ANT102,현장의인류학,3(4)
3학년/2학기,전공선택,CUL001,무형문화유산해설론,3(3)
3학년/2학기,전공선택,HST009,서양현대사,3(3)
3학년/2학기,전공선택,ANT085,한국고고학,3(3)
3학년/2학기,전공선택,PAI190,한국미술사특론,3(3)
3학년/2학기,전공선택,ARC161,현대건축,3(3)
4학년/1학기,전공선택,ANT135,"놀이,관광,축제",3(3)
4학년/1학기,전공선택,PSY013,리더십과커뮤니케이션,3(3)
4학년/2학기,전공선택,HST074,영남의역사와문화콘텐츠,3(3)
