학년/학기,구분,학수번호,교과목명,학점(시간)
2학년/1학기,전공선택,FOR008,목재가공학,3(3)
2학년/1학기,전공선택,TAR041,목재미술품의재료와기법,2(3)
2학년/1학기,전공선택,TAR050,미술보존복원의이해,2(2)
2학년/1학기,전공선택,TEX091,섬유재료,3(3)
2학년/1학기,전공선택,PAI188,수묵기법(1),2(3)
2학년/1학기,전공선택,TEX128,유기화학,3(3)
2학년/1학기,전공선택,PAI098,유화기법(1),2(3)
2학년/1학기,전공선택,PAI244,전통회화재료기법(1),2(3)
2학년/1학기,전공선택,PAI250,현대회화재료기법(1),2(3)
2학년/1학기,전공선택,TAR040,형상복원기법,2(3)
2학년/2학기,전공선택,PAI189,수묵기법(2),2(3)
2학년/2학기,전공선택,PAI099,유화기법(2),2(3)
2학년/2학기,전공선택,PAI245,전통회화재료기법(2),2(3)
2학년/2학기,전공선택,TAR005,테라코타,2(3)
2학년/2학기,전공선택,PAI251,현대회화재료기법(2),2(3)
3학년/1학기,전공선택,TAR013,3D컴퓨터그래픽(1),2(3)
3학년/1학기,전공선택,TAR016,금속미술품의재료와기법,2(3)
3학년/1학기,전공선택,PAI260,문인화(1),2(3)
3학년/1학기,전공선택,AC0001,유기재료보존복원실습,2(4)
3학년/1학기,전공선택,PAI252,회화모사(1),2(3)
3학년/2학기,전공선택,TAR014,3D컴퓨터그래픽(2),2(3)
3학년/2학기,전공선택,AC0002,무기재료보존복원실습,2(4)
3학년/2학기,전공선택,PAI261,문인화(2),2(3)
3학년/2학기,전공선택,TAR044,석재미술품의재료와기법,2(3)
3학년/2학기,전공선택,TEX205,염색공정,3(3)
3학년/2학기,전공선택,PAI190,한국미술사특론,3(3)
3학년/2학기,전공선택,PAI253,회화모사(2),2(3)
4학년/1학기,전공선택,PAI219,현장실습(1),3(3)
4학년/1학기,전공선택,PAI254,회화보존복원(1),2(3)
4학년/2학기,전공선택,PAI220,현장실습(2),3(3)
4학년/2학기,전공선택,PAI255,회화보존복원(2),2(3)
