학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00728,디지털시대의예술문화,3(3)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,전공선택,TAR061,기초2D그래픽(1),2(3)
1학년/1학기,전공선택,TAR056,기초조형(1),2(3)
1학년/1학기,전공선택,TAR063,기초촬영(1),2(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00708,융복합글쓰기,3(3)
1학년/2학기,교양필수,U00492,한국미술의이해,3(3)
1학년/2학기,전공선택,TAR062,기초2D그래픽(2),2(3)
1학년/2학기,전공선택,TAR057,기초조형(2),2(3)
1학년/2학기,전공선택,TAR064,기초촬영(2),2(3)
2학년/1학기,전공핵심,TAR075,트랜스아트론(1),2(2)
2학년/1학기,전공선택,TAR001,공간조형,2(3)
2학년/1학기,전공선택,TAR006,기초사진(1),2(3)
2학년/1학기,전공선택,TAR018,디지털영상제작(1),2(3)
2학년/1학기,전공선택,TAR078,디지털예술과AI,2(3)
2학년/1학기,전공선택,TAR041,목재미술품의재료와기법,2(3)
2학년/1학기,전공선택,TAR050,미술보존복원의이해,2(2)
2학년/1학기,전공선택,TAR067,소프트웨어아트(1),2(3)
2학년/1학기,전공선택,TAR072,인체모델링,2(3)
2학년/1학기,전공선택,TAR040,형상복원기법,2(3)
2학년/2학기,전공핵심,TAR069,시간조형예술론,2(2)
2학년/2학기,전공선택,TAR007,기초사진(2),2(3)
2학년/2학기,전공선택,TAR019,디지털영상제작(2),2(3)
2학년/2학기,전공선택,TAR042,미술교육프로그램개발,2(2)
2학년/2학기,전공선택,TAR068,소프트웨어아트(2),2(3)
2학년/2학기,전공선택,TAR029,영화소품모델링,2(3)
2학년/2학기,전공선택,TAR033,조형과스튜디오테크닉,2(3)
2학년/2학기,전공선택,TAR005,테라코타,2(3)
3학년/1학기,전공핵심,TAR076,트랜스아트론(2),3(3)
3학년/1학기,전공선택,TAR013,3D컴퓨터그래픽(1),2(3)
3학년/1학기,전공선택,TAR058,VR&AR(1),2(3)
3학년/1학기,전공선택,TAR016,금속미술품의재료와기법,2(3)
3학년/1학기,전공선택,TAR065,디지털콘텐츠제작(1),2(3)
3학년/1학기,전공선택,T00155,미술논리및논술,2(2)
3학년/1학기,전공선택,TAR023,사운드아트,2(3)
3학년/1학기,전공선택,TAR004,사진표현,2(3)
3학년/1학기,전공선택,TAR070,인스톨레이션아트(1),2(3)
3학년/1학기,전공선택,TAR073,인터랙티브아트(1),2(3)
3학년/2학기,전공핵심,TAR060,공간조형예술론,2(2)
3학년/2학기,전공선택,TAR014,3D컴퓨터그래픽(2),2(3)
3학년/2학기,전공선택,TAR059,VR&AR(2),2(3)
3학년/2학기,전공선택,TAR066,디지털콘텐츠제작(2),2(3)
3학년/2학기,전공선택,T00052,미술교육론,3(3)
3학년/2학기,전공선택,TAR003,사진연구,2(3)
3학년/2학기,전공선택,TAR044,석재미술품의재료와기법,2(3)
3학년/2학기,전공선택,TAR071,인스톨레이션아트(2),2(3)
3학년/2학기,전공선택,TAR074,인터랙티브아트(2),2(3)
4학년/1학기,전공핵심,TAR035,트랜스아트스튜디오A(1),4(6)
4학년/1학기,전공핵심,TAR036,트랜스아트스튜디오B(1),4(6)
4학년/1학기,전공핵심,TAR037,트랜스아트스튜디오C(1),4(6)
4학년/1학기,전공선택,T00053,미술교재연구및지도법,3(3)
4학년/2학기,전공선택,TAR053,트랜스아트스튜디오A(2),4(6)
4학년/2학기,전공선택,TAR054,트랜스아트스튜디오B(2),4(6)
4학년/2학기,전공선택,TAR055,트랜스아트스튜디오C(2),4(6)
