학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00258,실용영어,3(3)
1학년/1학기,교양필수,U00708,융복합글쓰기,3(3)
1학년/1학기,전공핵심,KOR062,국어학개론,3(3)
1학년/1학기,전공선택,KOR013,현대시론,3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,전공핵심,KOR063,국문학개론,3(3)
1학년/2학기,전공선택,KOR064,문학비평론,3(3)
2학년/1학기,전공핵심,KOR065,현대문학사,3(3)
2학년/1학기,전공핵심,KOR066,현대소설론,3(3)
2학년/1학기,전공선택,KOR040,고전문학강독,3(3)
2학년/1학기,전공선택,KOR067,음운론,3(3)
2학년/1학기,전공선택,KOR009,한국한문학의이해,3(3)
2학년/2학기,전공핵심,KOR068,고전소설론,3(3)
2학년/2학기,전공핵심,KOR014,국어사,3(3)
2학년/2학기,전공핵심,KOR069,형태론,3(3)
2학년/2학기,전공선택,KOR070,구비문학론,3(3)
2학년/2학기,전공선택,KOR002,글쓰기연습,3(3)
2학년/2학기,전공선택,KOR071,현대수필론,3(3)
3학년/1학기,전공핵심,KOR072,고전시가론,3(3)
3학년/1학기,전공핵심,KOR026,국어문법론,3(3)
3학년/1학기,전공선택,KOR073,고전작가론,3(3)
3학년/1학기,전공선택,T00063,국어교육론,3(3)
3학년/1학기,전공선택,KOR074,문장수사학,3(3)
3학년/1학기,전공선택,KOR075,한국어의미론,3(3)
3학년/1학기,전공선택,KOR076,현대시읽기,3(3)
3학년/2학기,전공핵심,KOR077,고전문학사,3(3)
3학년/2학기,전공핵심,KOR024,방언론,3(3)
3학년/2학기,전공선택,T00064,국어교재연구및지도법,3(3)
3학년/2학기,전공선택,T00164,국어논리및논술,2(2)
3학년/2학기,전공선택,KOR078,한국어정보처리,3(3)
3학년/2학기,전공선택,KOR079,한국어표현론,3(3)
3학년/2학기,전공선택,KOR080,현대소설읽기,3(3)
4학년/1학기,전공선택,KOR081,고전비평론,3(3)
4학년/1학기,전공선택,KOR082,고전산문읽기,3(3)
4학년/1학기,전공선택,KOR083,고전시가읽기,3(3)
4학년/1학기,전공선택,KOR084,국어학강독,3(3)
4학년/1학기,전공선택,KOR085,비교문학론,3(3)
4학년/1학기,전공선택,KOR086,현대작가론,3(3)
4학년/2학기,전공핵심,KOR087,희곡론,3(3)
4학년/2학기,전공선택,KOR054,국어지식과언어생활,3(3)
4학년/2학기,전공선택,KOR088,대중문화론,3(3)
4학년/2학기,전공선택,KOR089,문학사상사,3(3)
4학년/2학기,전공선택,KOR090,외국어로서의한국어교육,3(3)
4학년/2학기,전공선택,KOR091,한국어어휘론,3(3)
