학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00067,기초독일어(1),3(3)
1학년/1학기,교양필수,U00085,기초프랑스어(1),3(3)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00708,융복합글쓰기,3(3)
1학년/1학기,전공핵심,EUR003,유럽문화의이해,3(3)
1학년/2학기,교양필수,U00068,기초독일어(2),3(3)
1학년/2학기,교양필수,U00086,기초프랑스어(2),3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,전공핵심,EUR001,생활독일어,3(3)
1학년/2학기,전공핵심,EUR002,생활프랑스어,3(3)
2학년/1학기,전공핵심,GEL012,기초독문법(1),3(3)
2학년/1학기,전공핵심,GEL112,독어독문학입문,3(3)
2학년/1학기,전공핵심,GEL128,초급독일어회화(1),3(3)
2학년/1학기,전공선택,GEL124,초급독일어(1),3(3)
2학년/1학기,전공선택,GEL126,초급독일어연습(1),3(3)
2학년/2학기,전공핵심,GEL013,기초독문법(2),3(3)
2학년/2학기,전공핵심,GEL129,초급독일어회화(2),3(3)
2학년/2학기,전공선택,GEL111,독일역사와문화,3(3)
2학년/2학기,전공선택,GEL060,독일작가와작품,3(3)
2학년/2학기,전공선택,GEL144,디지털인문학의입문과탐색,3(3)
2학년/2학기,전공선택,GEL125,초급독일어(2),3(3)
2학년/2학기,전공선택,GEL127,초급독일어연습(2),3(3)
3학년/1학기,전공핵심,GEL122,중급독일어회화(1),3(3)
3학년/1학기,전공핵심,GEL120,현대독일의언어문화,3(3)
3학년/1학기,전공선택,GEL041,독일드라마의이해,3(3)
3학년/1학기,전공선택,GEL139,독일영화와사회,3(3)
3학년/1학기,전공선택,GEL141,북유럽신화,3(3)
3학년/1학기,전공선택,GEL100,서양어문학과진로개발,2(2)
3학년/1학기,전공선택,GEL135,유럽문화콘텐츠제작,3(3)
3학년/1학기,전공선택,GEL132,중급독일어(1),3(3)
3학년/2학기,전공핵심,GEL117,독일어번역(1),3(3)
3학년/2학기,전공선택,GEL130,독일광고와커뮤니케이션,3(3)
3학년/2학기,전공선택,GEL042,독일문학과예술,3(3)
3학년/2학기,전공선택,GEL109,독일미디어의이해,3(3)
3학년/2학기,전공선택,T00043,독일어교재연구및지도법,3(3)
3학년/2학기,전공선택,GEL133,중급독일어(2),3(3)
3학년/2학기,전공선택,GEL140,중급독일어회화(2),3(3)
3학년/2학기,전공선택,GEL137,현장실습1(유럽언어문화),3(3)
4학년/1학기,전공핵심,GEL062,독일학특강,3(3)
4학년/1학기,전공선택,GEL101,B1대비반,3(3)
4학년/1학기,전공선택,T00042,독일어교육론,3(3)
4학년/1학기,전공선택,T00153,독일어논리및논술,2(2)
4학년/1학기,전공선택,GEL118,독일어번역(2),3(3)
4학년/1학기,전공선택,GEL138,현장실습2(유럽언어문화),3(3)
4학년/2학기,전공선택,GEL121,독일및유럽문화수도,3(3)
4학년/2학기,전공선택,GEL142,유럽영화운동,3(3)
4학년/2학기,전공선택,GEL105,유럽예술사,3(3)
