학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00067,기초독일어(1),3(3)
1학년/1학기,교양필수,U00085,기초프랑스어(1),3(3)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00708,융복합글쓰기,3(3)
1학년/1학기,전공핵심,EUR003,유럽문화의이해,3(3)
1학년/2학기,교양필수,U00068,기초독일어(2),3(3)
1학년/2학기,교양필수,U00086,기초프랑스어(2),3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,전공핵심,EUR001,생활독일어,3(3)
1학년/2학기,전공핵심,EUR002,생활프랑스어,3(3)
2학년/1학기,전공핵심,FRL131,프랑스문학의이해와감상,3(3)
2학년/1학기,전공핵심,FRL090,프랑스어연습(1),3(3)
2학년/1학기,전공핵심,FRL102,프랑스어회화(1),3(3)
2학년/1학기,전공선택,FRL150,프랑스문화와역사,3(3)
2학년/1학기,전공선택,FRL123,프랑스어로표현하기,3(3)
2학년/1학기,전공선택,FRL152,프랑스어텍스트읽기,3(3)
2학년/2학기,전공핵심,FRL091,프랑스어연습(2),3(3)
2학년/2학기,전공핵심,FRL103,프랑스어회화(2),3(3)
2학년/2학기,전공선택,FRL139,델프프랑스어(1),3(3)
2학년/2학기,전공선택,FRL154,디지털인문학의입문과탐색,3(3)
2학년/2학기,전공선택,FRL149,프랑스동화읽기,3(3)
2학년/2학기,전공선택,FRL151,프랑스어듣기와발음연습,3(3)
2학년/2학기,전공선택,FRL124,프랑스어작품읽기,3(3)
3학년/1학기,전공핵심,FRL079,프랑스소설,3(3)
3학년/1학기,전공핵심,FRL104,프랑스어회화(3),3(3)
3학년/1학기,전공핵심,FRL138,프랑스연극,3(3)
3학년/1학기,전공선택,FRL140,델프프랑스어(2),3(3)
3학년/1학기,전공선택,FRL119,서양어문학과진로개발,2(2)
3학년/1학기,전공선택,FRL086,프랑스어글쓰기,3(3)
3학년/2학기,전공핵심,FRL105,프랑스어회화(4),3(3)
3학년/2학기,전공선택,FRL142,델프프랑스어(3),3(3)
3학년/2학기,전공선택,FRL121,비지니스프랑스어,3(3)
3학년/2학기,전공선택,FRL128,프랑스도시문화,3(3)
3학년/2학기,전공선택,T00129,프랑스어교재연구및지도법,3(3)
3학년/2학기,전공선택,FRL109,프랑스언어학의이해,3(3)
3학년/2학기,전공선택,FRL120,프랑스영화읽기,3(3)
3학년/2학기,전공선택,FRL146,현장실습1(유럽언어문화),3(3)
4학년/1학기,전공핵심,FRL059,프랑스문학과예술,3(3)
4학년/1학기,전공선택,FRL148,영화로배우는프랑스어,3(3)
4학년/1학기,전공선택,FRL082,프랑스시와샹송,3(3)
4학년/1학기,전공선택,T00128,프랑스어교육론,3(3)
4학년/1학기,전공선택,T00171,프랑스어논리및논술,2(2)
4학년/1학기,전공선택,FRL088,프랑스어번역연습,3(3)
4학년/1학기,전공선택,FRL147,현장실습2(유럽언어문화),3(3)
4학년/2학기,전공선택,FRL127,프랑스공연예술의이해,3(3)
4학년/2학기,전공선택,FRL155,프랑스사회와미디어읽기,3(3)
4학년/2학기,전공선택,FRL097,프랑스어커뮤니케이션,3(3)
