학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00258,실용영어,3(3)
1학년/1학기,교양필수,U00361,일반물리(1),3(3)
1학년/1학기,교양필수,U00364,일반물리실험(1),1(2)
1학년/1학기,전공핵심,PHY026,기초수리물리학,3(3)
1학년/1학기,전공핵심,PHY102,일반물리학연습(1),1(2)
1학년/2학기,교양필수,U00145,미분적분학(1),3(3)
1학년/2학기,교양필수,U00708,융복합글쓰기,3(3)
1학년/2학기,교양필수,U00362,일반물리(2),3(3)
1학년/2학기,교양필수,U00365,일반물리실험(2),1(2)
1학년/2학기,전공핵심,PHY103,일반물리학연습(2),1(2)
2학년/1학기,전공핵심,PHY064,수리물리학(1),3(3)
2학년/1학기,전공핵심,PHY078,역학(1),3(3)
2학년/1학기,전공핵심,PHY154,전자회로와실습,3(5)
2학년/1학기,전공선택,PHY143,현대물리학,3(3)
2학년/2학기,전공핵심,PHY170,IT융합계측프로그래밍,2(3)
2학년/2학기,전공핵심,PHY160,신재생에너지물리실험,2(4)
2학년/2학기,전공핵심,PHY123,전자기학(1),3(3)
2학년/2학기,전공선택,PHY065,수리물리학(2),3(3)
2학년/2학기,전공선택,PHY079,역학(2),3(3)
2학년/2학기,전공선택,PHY171,의학물리학개론,3(3)
3학년/1학기,전공핵심,PHY074,양자역학(1),3(3)
3학년/1학기,전공핵심,PHY168,현대물리응용실험(종합설계),2(4)
3학년/1학기,전공선택,T00176,과학교육론,3(3)
3학년/1학기,전공선택,PHY172,반도체공정장비,3(3)
3학년/1학기,전공선택,PHY165,에너지물리개론,3(3)
3학년/1학기,전공선택,PHY077,에너지와광학,3(3)
3학년/1학기,전공선택,PHY124,전자기학(2),3(3)
3학년/1학기,전공선택,PHY164,프로그래밍과물리,3(3)
3학년/2학기,전공핵심,PHY008,고체물리학,3(3)
3학년/2학기,전공핵심,PHY084,열및통계물리학,3(3)
3학년/2학기,전공핵심,PHY169,현대광학응용실험,2(4)
3학년/2학기,전공선택,T00178,과학교재연구및지도법,3(3)
3학년/2학기,전공선택,PHY166,기초창의설계,2(4)
3학년/2학기,전공선택,PHY174,반도체물리,3(3)
3학년/2학기,전공선택,PHY158,방사선의학물리학,2(2)
3학년/2학기,전공선택,PHY075,양자역학(2),3(3)
3학년/2학기,전공선택,PHY149,현장실습(물리1),3(3)
4학년/1학기,전공핵심,PHY029,나노물리개론,2(2)
4학년/1학기,전공선택,T00148,과학논리및논술,2(2)
4학년/1학기,전공선택,PHY031,디스플레이광학,3(3)
4학년/1학기,전공선택,PHY151,물리창의실험1(캡스톤디자인),2(4)
4학년/1학기,전공선택,PHY175,반도체소자물리,3(3)
4학년/1학기,전공선택,PHY150,현장실습(물리2),3(3)
4학년/2학기,전공핵심,PHY173,반도체나노공정실험,2(4)
4학년/2학기,전공핵심,PHY162,영어물리프리젠테이션,2(2)
4학년/2학기,전공선택,PHY152,물리창의실험2(캡스톤디자인),2(4)
4학년/2학기,전공선택,PHY167,심화창의설계,2(4)
4학년/2학기,전공선택,PHY136,파동과레이저,3(3)
