학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/1학기,교양필수,U00558,생명과학(1),3(3)
1학년/1학기,교양필수,U00560,생명과학실험(1),1(2)
1학년/1학기,교양필수,U00374,일반화학(1),3(3)
1학년/2학기,교양필수,U00107,독서와토론,3(3)
1학년/2학기,교양필수,U00559,생명과학(2),3(3)
1학년/2학기,교양필수,U00561,생명과학실험(2),1(2)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,교양필수,U00258,실용영어,3(3)
2학년/1학기,전공핵심,LSC057,생태학,3(3)
2학년/1학기,전공핵심,LSC061,세포생물학,3(3)
2학년/1학기,전공핵심,LSC062,세포생물학실험,1(2)
2학년/1학기,전공핵심,LSC070,식물분류학,3(3)
2학년/1학기,전공핵심,LSC071,식물분류학실험,1(2)
2학년/1학기,전공선택,LSC012,동물분류학,3(3)
2학년/1학기,전공선택,LSC058,생태학실험,1(2)
2학년/1학기,전공선택,LSC085,야외현장실습(1),1(1)
2학년/2학기,전공핵심,LSC077,식물형태학,3(3)
2학년/2학기,전공핵심,LSC078,식물형태학실험,1(2)
2학년/2학기,전공핵심,LSC090,유전학,3(3)
2학년/2학기,전공핵심,LSC091,유전학실험,1(2)
2학년/2학기,전공선택,LSC053,생물화학,3(3)
2학년/2학기,전공선택,LSC054,생물화학실험,1(2)
2학년/2학기,전공선택,LSC127,행동생물학,3(3)
3학년/1학기,전공핵심,LSC017,동물생리학,3(3)
3학년/1학기,전공핵심,LSC029,발생생물학,3(3)
3학년/1학기,전공핵심,LSC030,발생생물학실험,1(2)
3학년/1학기,전공선택,T00176,과학교육론,3(3)
3학년/1학기,전공선택,LSC018,동물생리학실험,1(2)
3학년/1학기,전공선택,LSC024,면역학,3(3)
3학년/1학기,전공선택,LSC044,생물통계학,3(3)
3학년/2학기,전공핵심,LSC025,미생물학,3(3)
3학년/2학기,전공핵심,LSC072,식물생리학,3(3)
3학년/2학기,전공선택,LSC002,곤충학,3(3)
3학년/2학기,전공선택,T00178,과학교재연구및지도법,3(3)
3학년/2학기,전공선택,LSC014,동물비교해부학,3(3)
3학년/2학기,전공선택,LSC034,보존생물학,3(3)
3학년/2학기,전공선택,LSC130,바이오캡스톤디자인1(생명과학과),2(4)
3학년/2학기,전공선택,LSC121,생명과학현장실습(1),3(3)
3학년/2학기,전공선택,LSC073,식물생리학실험,1(2)
3학년/2학기,전공선택,LSC086,야외현장실습(2),1(1)
3학년/2학기,전공선택,LSC125,유전공학의실제,3(4)
3학년/2학기,전공선택,LSC093,인체생물학,3(3)
4학년/1학기,전공핵심,LSC035,분자생물학,3(3)
4학년/1학기,전공선택,T00148,과학논리및논술,2(2)
4학년/1학기,전공선택,LSC126,기능유전체학,3(3)
4학년/1학기,전공선택,LSC036,분자생물학실험,1(2)
4학년/1학기,전공선택,LSC117,생명과학심화실험(1),2(4)
4학년/1학기,전공선택,LSC124,생명과학캡스톤디자인(2),2(4)
4학년/1학기,전공선택,LSC122,생명과학현장실습(2),3(3)
4학년/1학기,전공선택,LSC129,생명자원관리학,3(3)
4학년/2학기,전공핵심,LSC107,진화생물학,3(3)
4학년/2학기,전공선택,LSC118,생명과학심화실험(2),2(4)
4학년/2학기,전공선택,LSC041,생물정보학,3(3)
4학년/2학기,전공선택,LSC128,신경생물학,3(3)
4학년/2학기,전공선택,LSC105,조직배양학,2(3)
